;p_id;pid_type;year;journal;publisher;title;book_title;abstract;oabstract;authors;editors;language;meshterms;keywords;coi;grant;doi
1;21520559;Article;2010;Cirugia pediatrica : organo oficial de la Sociedad Espanola de Cirugia Pediatrica;;[Need of hepatic bipartition or split in the transplant in children].;;AIM: To analyze the benefits of Split (for adult and for child) in liver transplantation. PATIENT/METHODS: 1) Analysis of the waiting list mortality estimated on 228 inclusions for transplant since January 2004 to December 2008.2) Impact of the variant techniques (living-related donor and split) on the waiting  list mortality in our patients. 3) Analysis of the outcome of 33 split livers which allowed to perform 66 transplants (1994-2008). RESULTS: Estimated as number of patients by 1,000 candidates by year of exposure, the waiting list mortality was 110 in children older than 5 year old, 180 in children from 2 to 5 year-old,  90 in children between 1 and 2 year-old and 510 in younger than 1 year (p<0.05 for the last group). 36/66 split grafts were implanted by our group. Five grafts  were lost, 3 due to retransplantation and 2 due to death. Overall patient/graft survival alter 10 years of follow-up was 94.5% and 85.1%, respectively. The rest  of the grafts (n=30), were used in other hospitals, and 4 were lost in the early  postoperative period. Since the beginning of the study, 85.4% of children between 1 and 2 years, received a living-donor or a split graft, as only 59.9% in the younger than 1 year-old group. CONCLUSION: Our results absolutely justify the ethics of split liver transplantation for an adult and a child. Despite other factors, the benefits of the variant techniques in the 1-2 year-old group are obvious. Up to 60% optimization with these techniques in children younger than 1  year would not be yet enough in order to decrease the mortality waiting list down to that of the rest of the groups.;;Andres AM, Lopez Santamaria M, Burgos L, Hernandez F, Encinas JL, Barrena S, Miguel M, Leal N, Martinez L, Gamez M, Murcia J, Frauca E, Jara P, Tovar JA;;spa;['Adult', 'Child, Preschool', 'Hepatectomy/*methods', 'Humans', 'Infant', '*Liver Transplantation', 'Retrospective Studies', 'Tissue and Organ Procurement/*methods'];;;;
2;21443156;Article;2010;Medicinski pregled;;Cadaveric organ transplantation and religion.;;Multiple organ procurement is a surgical procedure by which organs of a brain dead donor are taken for transplantation. Cadaveric organ donors must be those who have suffered a sudden structural and irreversible damage of the brain or brainstem. Social and scientific aspects of organ transplantation have been widely discussed so far, whereas the religious factor, which should be also respected, has rarely been analyzed. Considering the fact that Serbia is a multicultural and multi-confessional society, opinions of all confessions practised in the Republic of Serbia should be taken into account. The Orthodox Church permits transplantation from one man to another and transplantation is strongly recommended from the standpoint of Christian morality. These attitudes are accepted and respected by the Roman Catholic Church, Reformers, Judaism and Islam as well. For the future development of organ transplantation it is necessary to have a sufficient number of organ donors. Valid and complete laws must strictly define brain death, organ donation and waiting lists. The public should be fully informed about this issue in order to build mutual confidence between the population and medical staff.;;Vukovic M, Moljevic N, Katanic N, Krivokuca D, Vukovic V, Milosevic Z;;eng;['*Brain Death', 'Humans', '*Religion and Medicine', 'Serbia', 'Tissue and Organ Procurement/ethics/*legislation & jurisprudence'];;;;
3;21353967;Article;2010;Revue de pneumologie clinique;;[Ethical contradictions in lung transplantation].;;"Medical and scientific rationality often overlooked the importance of the symbolic dimension of personal and collective relationship to our body which organ transplantation cannot ignore. Hence the difficulty of the campaigns, with  a widening gulf between resuscitation maneuvers intended for the sole organ perfusion during the sampling in patients with heart stopped and fostering an attitude of a friendly support person. A well-doing medical discourse for the recipient cannot ignore a dialogue on the meaning of a ""donation"" of which counter-donation carries the same symbolic values.";;Sicard D;;fre;['Humans', 'Lung Transplantation/*ethics'];;;;10.1016/j.pneumo.2010.12.002
4;21183963;Article;2010;Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia;;[Assessment and selection of kidney living donors].;;"Donor protection should always be taken account during the selection and assessment of a living donor. On these terms, the evaluation of a potential donor must include these issues: 1) The donor act is altruistic, consciousness and out  of coercion; 2) Life expectancy and quality of life of the recipient will improve after the living donor kidney transplantation; 3) The donor has normal renal function and the potential risk of developing nephropathy in the long term follow up is scarce (familiar nephropathies and other processes that may increase the potential risk for renal disease in the future, like severe hypertension, diabetes, etc must be ruled out). The glomerular filtrate should meet criteria for the normal function corresponding to age furthermore the absence of proteinuria and urine smear is normal; 4) The screening in the donor should contemplate those clinical situations or diseases non related to the kidney function but might elevate the surgical and/or anesthesia risk besides disease transmission to the recipient (as neoplasia or infections); 5) The surgical act is possible without technical difficulties and always performed after a negative  result of the crossmatch between donor and recipient. The living donor evaluation process will follow a different schedule based on each particular case and the center facilities. Any case, the mentioned process is divided in two parts: The first one contains an initial screening (using non invasive and low cost tests) that allows discarding contraindications for donation (in both donor and recipient). In a second phase the assessment of the donor varies with donor characteristics. However, a test for renal function is mandatory besides imaging  techniques (like angioTC), screening for transmissible diseases and a detailed evaluation for psychosocial aspects preferably made by professional. Moreover Spanish policy on living donation requires a report with information about the consent for donation developed by an independent board (ethics committee) besides the consent for donation given at the civil registry.";;Gentil Govantes MA, Pereira Palomo P;;spa;['Algorithms', 'Donor Selection/*methods', 'Humans', 'Kidney Diseases/diagnosis', 'Kidney Function Tests', '*Kidney Transplantation', '*Living Donors'];;;;10.3265/Nefrologia.pre2010.Nov.10691
5;21183959;Article;2010;Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia;;[Ethical aspects of living-donor kidney transplantation].;;UNLABELLED: Living donor kidney transplantation is considered an established treatment for end-stage renal failure and is accepted in different transplant forums, nationally and internationally, while ensuring the safety of the donation, the information, the motivation and caring, the free consent and the absence profit. SAFETY: the living donor nephrectomy is not extent of risks so a  good assessment of the donor's health status and psychosocial situation must be performed to evaluate if the benefits to donor and recipient outweigh the risks assumed. Information and Consent: to be considered ethically acceptable, the donor must be able to give his free consent to the donation after understanding the information provided, accepting the risks and benefits of organ donation, knowing the treatment alternatives for the recipient and the long-term consequences of his decision The absence of profit: offering or receiving money for an organ or other human tissue violates the principles of justice and equity  and it is considered ethically and legally unacceptable MOTIVATION: it is important to make a good psychosocial assessment to identify whether the motivation is altruistic or not and, in other terms, to detect any kind of coercion (ex, in the family). Living donation must not be offered in desperate family situations so it is important to assess family relationships to rule out the absence of freedom in donor's choice.The Role of Health Care Ethics Committees: there exists a normative in our country that regulates living donation and establishes that the hospital ethics committees should participate in the process of living donation in all cases. Their job is to assess the process and develop a report on the donor free consent to donation. The responsible person of the living transplant program should provide the documentation necessary to the committee. An interview with the potential donor can be required in some cases.;;Casares M;;spa;['Algorithms', 'Humans', 'Informed Consent/ethics', 'Kidney Transplantation/*ethics', 'Living Donors/*ethics', 'Records'];;;;10.3265/Nefrologia.pre2010.Nov.10687
6;21315284;Article;2011;Nuclear medicine and biology;;Biological studies in animal models using [99mTc](CO)3 recombinant annexin V as diagnostic agent of apoptotic processes.;;"INTRODUCTION: There are many diseases associated with variations in the expression of apoptosis such as organ rejection after transplantation, myocardial ischemia or infarct and neurodegenerative diseases. For this reason, the early visualization of this process is relevant to set fast and effective therapeutic strategies. METHODS: The precursor was prepared according to the procedure reported by R. Alberto, R. Schibli, P. Schubiger, U. Abram, and T. Kaden [Reactions with the technetium and rhenium carbonyl complexes (NEt(4))[MX(3)(CO)(3)]. Synthesis and structure of Tc(CN-But)(3)(CO)(3)](NO(3)) and (Net(4))[Tc(2)(mu-SCH(2)CH(2)OH)(3)(CO)(3)], Polyhedron 1996;15: 1079-89]. Recombinant annexin V was incubated with [(99m)Tc](H(2)O)3(CO)(3)(+) solution, previously neutralized with buffer. Biodistribution studies were performed in 8-week-old female Wistar rats. Animals were housed and treated in compliance with institutional guidelines related to animal experimentation. Work protocol was previously approved by the Animal Ethics Committee of the university. Two groups  of rats were defined. One was used as control and the other group was previously  injected with 150 mg/kg ip of cyclophosphamide to induce apoptosis. RESULTS: The  synthesis of carbonyl precursor achieved yields higher than 90%, and the radiolabeled protein was obtained with 92% of radiochemical purity and high stability in vitro. An important uptake in apoptotic tissues was confirmed by biodistributions, scintigraphic images and histological studies. CONCLUSIONS: Biodistribution studies revealed hepatobiliary elimination, high stability in vivo and important uptake in the reticuloendothelial system. In the pathologic model, higher uptake values correspond to the liver, spleen, lungs and femur. Histological studies confirmed the development of apoptosis at 8 and 24 h postinduction in the spleen and lymphocyte bulks in the peribronchial area. Scintigraphic images confirmed high uptake both the spleen and the lungs.";;Teran MA, Martinez E, Reyes AL, Paolino A, Vital M, Esperon P, Pacheco JP, Savio E;;eng;['Animals', '*Annexin A5/chemistry/pharmacokinetics', '*Apoptosis', 'Chemical Phenomena', 'Drug Stability', 'Female', 'Humans', 'Models, Animal', '*Organotechnetium Compounds', 'Rats', 'Rats, Wistar', '*Recombinant Proteins/chemistry/pharmacokinetics'];;;;10.1016/j.nucmedbio.2010.08.007
7;21302846;Article;2010;American journal of law & medicine;;Can we handle the truth? Legal fictions in the determination of death.;;Advances in life-saving technologies in the past few decades have challenged our  traditional understandings of death. People can be maintained on life-support even after permanently losing the ability to breathe spontaneously and remaining  unconscious and unable to interact meaningfully with others. In part because this group of people could help fulfill the growing need for organ donation, there has been a great deal of pressure on the way we determine death. The determination of death has been modified from the old way of understanding death as occurring when a person stops breathing, her heart stops beating, and she is cold to the touch.  Today, physicians determine death by relying on a diagnosis of total brain failure or by waiting a short while after circulation stops. Evidence has emerged that the conceptual bases for these approaches to determining death are fundamentally flawed and depart substantially from our biological and common-sense understandings of death. We argue that the current approach to determining death consists of two different types of unacknowledged legal fictions. These legal fictions were developed for practices that are largely ethically legitimate but need to be reconciled with the law. However, the considerable debate over the determination of death in the medical and scientific literature has not informed the public of the fact that our current determinations of death do not adequately establish that a person has died. It seems unlikely that this information can remain hidden for long. Given the instability of the status quo and the difficulty of making the substantial legal  changes required by complete transparency, we argue for a second-best policy solution of acknowledging the legal fictions involved in determining death. This  move in the direction of greater transparency may someday result in allowing us to face squarely these issues and effect the legal changes necessary to permit ethically appropriate vital organ transplantation. Finally, this paper also provides the beginnings of a taxonomy of legal fictions, concluding that a more systematic theoretical treatment of legal fictions is warranted to understand their advantages and disadvantages across a variety of legal domains.;;Shah SK, Miller FG;;eng;['Advisory Committees', '*Bioethical Issues', 'Brain Death/diagnosis/*legislation & jurisprudence', 'Humans', 'Tissue Donors/legislation & jurisprudence', 'Tissue and Organ Procurement/legislation & jurisprudence', 'United States', 'Withholding Treatment/legislation & jurisprudence'];;;Intramural NIH HHS/United States;10.1177/009885881003600402
8;21271122;Article;2010;Revista da Associacao Medica Brasileira (1992);;[Borderline donors in liver transplantation].;;;;;;por;['Age Factors', 'Hepatitis B/transmission', 'Hepatitis C/transmission', 'Humans', '*Liver', '*Liver Transplantation/adverse effects', '*Tissue Donors', 'Tissue and Organ Procurement/ethics/standards'];;;;10.1590/s0104-42302010000600004
9;21265290;Article;2010;Progress in transplantation (Aliso Viejo, Calif.);;Stranger donors: a key link in transplant chains.;;"Living donation to strangers is a complex issue that has caused some transplant centers to ban the practice altogether. Most prominent of the troublesome issues  is the common source of these donors; namely, the Internet. These ""stranger donors,"" however, are critical to both paired kidney transplants and chain kidney transplants. This article presents the ethical complexities of donors in these transplant arrangements and offers 2 case examples from our facility. Rigorous donor screening and informed consent processes are crucial, and together they help make transplant pairs and chains ethically feasible.";;Veys CG, Bramstedt KA;;eng;['Adult', 'Altruism', 'Blood Group Incompatibility', '*Directed Tissue Donation/ethics/statistics & numerical data', '*Donor Selection/ethics/organization & administration', 'Humans', 'Informed Consent/ethics/statistics & numerical data', '*Internet/ethics/organization & administration', '*Kidney Transplantation/ethics/methods/statistics & numerical data', '*Living Donors/ethics/statistics & numerical data', 'Male', '*Tissue and Organ Procurement/ethics/organization & administration', 'United States'];;;;10.7182/prtr.20.4.v80gh271u37j175x
10;21196904;Article;2010;Minerva medica;;Ethical models in bioethics: theory and application in organ allocation policies.;;Policies for allocating organs to people awaiting a transplant constitute a major ethical challenge. First and foremost, they demand balance between the principles of beneficence and justice, but many other ethically relevant principles are also involved: autonomy, responsibility, equity, efficiency, utility, therapeutic outcome, medical urgency, and so forth. Various organ allocation models can be developed based on the hierarchical importance assigned to a given principle over the others, but none of the principles should be completely disregarded. An ethically acceptable organ allocation policy must therefore be in conformity, to  a certain extent, with the requirements of all the principles. Many models for organ allocation can be derived. The utilitarian model aims to maximize benefits, which can be of various types on a social or individual level, such as the number of lives saved, prognosis, and so forth. The prioritarian model favours the neediest or those who suffer most. The egalitarian model privileges equity and justice, suggesting that all people should have an equal opportunity (casual allocation) or priority should be given to those who have been waiting longer. The personalist model focuses on each individual patient, attempting to mesh together all the various aspects affecting the person: therapeutic needs (urgency), fairness, clinical outcomes, respect for persons. In the individualistic model the main element is free choice and the system of opting-in is privileged. Contrary to the individualistic model, the communitarian model identities in the community the fundamental elements for the legitimacy of choices: therefore, the system of opting-out is privileged. This article does not aim at suggesting practical solutions. Rather, it furnishes to decision makers an overview on the possible ethical approach to this matter.;;Petrini C;;eng;['Bioethical Issues/*standards', 'Decision Making/ethics', '*Ethical Theory', 'Humans', 'Organ Transplantation/*ethics', 'Patient Selection/*ethics', 'Resource Allocation/*ethics', 'Social Justice/ethics'];;;;
